ticket_id,customer_id,ticket_date,issue_type,resolution_time_days,is_resolved
120,8017,2025-06-20,Content,10,1
121,858,2025-08-10,Account,3,1
122,9029,2025-06-23,Account,5,1
123,1558,2025-01-16,Content,6,0
124,5419,2024-11-24,Account,5,1
125,8215,2024-08-21,Account,1,1
126,7577,2024-09-29,Technical,8,0
127,5001,2025-05-01,Technical,1,1
128,2446,2025-05-15,Technical,2,1
129,1982,2024-09-01,Billing,19,1
130,8035,2025-07-18,Billing,1,1
131,8272,2025-08-03,Billing,5,0
132,1664,2025-05-22,Account,15,0
133,630,2025-07-21,Content,7,1
134,1043,2025-02-11,Account,6,1
135,3323,2025-02-11,Content,6,0
136,1655,2024-09-02,Technical,3,1
137,4425,2024-10-16,Account,7,0
138,41,2025-04-27,Technical,6,0
139,5594,2025-07-22,Technical,5,1
140,1910,2025-04-15,Content,2,1
141,6894,2024-12-29,Billing,6,1
142,6584,2024-12-12,Account,4,1
143,2945,2024-12-17,Billing,12,1
144,2958,2024-10-24,Account,2,1
145,8855,2025-05-26,Billing,7,1
146,7275,2025-05-15,Billing,2,1
147,6604,2025-07-07,Account,1,1
148,1539,2025-04-23,Account,17,0
149,6307,2024-10-12,Content,5,1
150,8152,2024-10-27,Content,2,1
151,6483,2025-04-16,Account,5,0
152,6700,2024-12-17,Account,2,1
153,5150,2025-07-04,Account,3,1
154,5380,2025-03-26,Account,16,1
155,6548,2025-06-27,Technical,2,0
156,5108,2025-01-19,Content,1,1
157,7406,2025-01-21,Technical,2,1
158,3794,2025-08-15,Content,2,0
159,6769,2025-03-05,Content,4,1
160,8794,2025-07-16,Billing,8,0
161,8954,2025-02-25,Technical,3,1
162,550,2025-01-06,Technical,1,1
163,9224,2025-01-23,Billing,5,1
164,3178,2025-04-04,Billing,7,1
165,9636,2025-06-18,Billing,12,1
166,3358,2025-05-18,Content,3,0
167,9322,2025-07-20,Billing,6,0
168,4957,2024-12-12,Account,14,1
169,1959,2025-04-09,Technical,4,1
170,9956,2025-07-14,Technical,7,1
171,9068,2025-07-12,Content,1,1
172,832,2024-12-20,Content,3,1
173,2937,2025-08-13,Account,6,1
174,8121,2025-03-13,Content,2,1
175,4488,2025-02-24,Content,6,1
176,7513,2025-07-23,Content,7,1
177,3965,2025-08-02,Billing,18,1
178,9058,2025-04-28,Content,7,1
179,1526,2024-11-14,Account,5,1
180,3459,2024-10-02,Technical,6,1
181,263,2025-06-25,Content,13,0
182,2789,2025-07-22,Account,12,1
183,9174,2024-09-01,Technical,7,1
184,723,2025-01-25,Account,6,1
185,4259,2025-06-24,Content,10,1
186,9304,2025-06-30,Technical,2,1
187,5349,2024-12-20,Billing,18,0
188,5681,2024-09-04,Content,6,1
189,6113,2025-06-06,Billing,3,1
190,5887,2025-02-22,Billing,3,1
191,6040,2025-05-11,Billing,12,1
192,9029,2025-06-24,Technical,1,1
193,7980,2024-09-27,Content,2,1
194,6033,2024-09-04,Billing,3,1
195,5544,2024-12-09,Account,6,0
196,6956,2025-01-16,Content,5,0
197,4760,2025-08-19,Technical,2,1
198,5748,2025-05-31,Technical,13,1
199,1831,2024-12-17,Billing,2,1
200,8425,2024-11-28,Technical,6,1
201,5954,2025-07-30,Content,5,0
202,5325,2025-03-07,Account,3,1
203,3539,2025-05-17,Billing,5,1
204,1948,2025-03-30,Technical,2,1
205,9574,2024-11-03,Technical,6,1
206,2469,2025-02-14,Technical,10,0
207,4136,2024-11-13,Billing,17,1
208,8727,2024-12-14,Account,5,1
209,2401,2025-06-21,Account,1,0
210,5291,2025-07-14,Technical,1,0
211,6167,2025-03-21,Content,5,1
212,4573,2025-03-27,Billing,1,1
213,8599,2025-02-13,Billing,12,1
214,2250,2024-09-02,Content,6,1
215,3114,2024-10-28,Technical,7,1
216,495,2025-07-14,Content,2,1
217,6353,2024-09-06,Billing,3,1
218,569,2024-10-30,Technical,6,1
219,1228,2025-06-19,Account,5,1
220,9016,2024-12-12,Content,1,1
221,1428,2025-06-03,Content,6,1
222,5433,2025-04-01,Billing,2,1
223,1741,2025-04-23,Billing,4,1
224,1741,2024-11-06,Account,2,1
225,1331,2025-03-04,Content,15,0
226,3724,2025-05-15,Content,1,1
227,9466,2025-02-09,Technical,1,1
228,2332,2025-01-04,Technical,7,1
229,2182,2024-09-14,Billing,3,1
230,604,2025-05-09,Content,2,1
231,6343,2025-01-11,Billing,5,1
232,3969,2024-10-26,Account,7,1
233,3497,2025-03-06,Content,7,1
234,7343,2025-05-03,Technical,2,1
235,447,2025-03-13,Content,7,1
236,6819,2024-11-17,Technical,6,0
237,9348,2024-10-31,Billing,7,1
238,5275,2025-07-29,Content,6,1
239,6019,2024-10-08,Account,3,1
240,3703,2024-10-09,Content,4,1
241,2240,2025-05-15,Billing,5,1
242,7230,2024-09-27,Billing,7,1
243,3434,2024-10-15,Technical,17,0
244,183,2024-10-21,Account,10,1
245,7745,2025-06-28,Content,4,1
246,7807,2025-01-02,Content,6,1
247,8932,2025-02-27,Technical,4,1
248,8486,2024-10-28,Technical,1,1
249,4239,2025-07-07,Content,5,1
250,6288,2024-10-28,Content,14,1
251,8239,2025-03-15,Billing,6,1
252,6520,2025-05-03,Technical,7,1
253,136,2025-07-23,Technical,3,1
254,5460,2025-04-06,Content,19,0
255,2459,2025-04-27,Billing,7,1
256,5628,2024-09-03,Billing,4,1
257,2659,2025-01-13,Technical,14,0
258,693,2025-02-26,Account,7,1
259,7264,2025-05-10,Content,3,1
260,6498,2025-04-26,Billing,2,1
261,1551,2024-09-20,Content,6,1
262,6667,2025-03-10,Content,6,0
263,3508,2025-02-07,Account,3,1
264,4273,2024-10-02,Billing,4,1
265,4395,2024-09-25,Billing,3,1
266,8069,2025-04-17,Technical,6,1
267,6158,2025-07-10,Technical,6,1
268,4160,2024-12-15,Content,4,1
269,8548,2025-02-21,Technical,7,1
270,8579,2024-11-16,Account,6,1
271,8832,2025-03-30,Technical,2,1
272,5941,2025-05-01,Account,6,1
273,4950,2025-05-06,Technical,7,1
274,8519,2025-07-06,Billing,6,0
275,3638,2025-08-16,Technical,11,1
276,8407,2025-03-03,Billing,4,1
277,1681,2025-07-29,Account,3,1
278,4144,2025-04-06,Content,3,1
279,5854,2025-06-09,Account,6,0
280,5031,2025-02-06,Content,6,0
281,2711,2024-08-28,Account,4,1
282,5452,2024-09-25,Account,7,1
283,8991,2025-04-09,Content,3,1
284,2211,2025-07-22,Billing,15,1
285,1954,2025-01-30,Account,9,0
286,8032,2025-06-26,Content,5,1
287,4812,2025-08-20,Technical,7,1
288,9596,2025-02-01,Account,15,1
289,7596,2025-01-19,Account,10,0
290,4103,2024-12-08,Content,11,0
291,541,2025-05-25,Billing,6,1
292,5199,2024-11-16,Billing,12,1
293,9763,2025-01-11,Technical,4,0
294,5394,2024-11-27,Technical,7,0
295,9874,2025-08-18,Technical,17,1
296,2563,2025-03-23,Content,4,1
297,7166,2025-01-25,Account,5,1
298,4246,2024-09-22,Technical,11,0
299,2134,2025-03-31,Billing,7,1
300,652,2025-03-26,Technical,3,1
301,7057,2024-10-19,Billing,4,1
302,1717,2024-09-25,Account,6,1
303,6442,2025-06-21,Technical,5,1
304,5082,2025-08-07,Account,2,0
305,7903,2024-12-29,Account,11,1
306,6557,2025-05-26,Billing,7,1
307,6893,2025-06-22,Content,5,1
308,4068,2025-04-22,Billing,5,0
309,5491,2025-04-17,Technical,7,1
310,8352,2024-10-21,Account,16,1
311,8148,2025-07-18,Technical,20,1
312,1531,2025-05-14,Account,15,1
313,1568,2025-07-11,Account,3,1
314,9061,2024-11-26,Billing,5,1
315,4029,2024-12-09,Content,6,1
316,3068,2025-01-20,Technical,1,1
317,2904,2024-10-26,Content,5,1
318,561,2025-07-05,Account,3,1
319,5705,2025-03-04,Content,3,1
320,5811,2025-03-19,Content,1,0
321,5565,2025-07-03,Technical,2,1
322,7360,2025-01-01,Content,2,1
323,2299,2024-12-17,Billing,18,1
324,8901,2024-12-31,Content,5,1
325,7845,2025-07-07,Billing,4,1
326,5658,2024-09-01,Content,8,1
327,5969,2025-04-11,Content,9,1
328,4912,2025-02-15,Content,4,1
329,6696,2024-09-09,Account,13,1
330,5392,2025-06-21,Technical,5,1
331,8048,2025-02-22,Billing,4,1
332,7233,2025-03-23,Technical,4,1
333,3903,2025-05-28,Billing,7,1
334,2997,2025-01-11,Content,7,1
335,8930,2024-12-08,Technical,12,1
336,2103,2025-02-26,Technical,13,1
337,7118,2025-07-27,Billing,1,1
338,7176,2024-12-31,Billing,7,0
339,359,2025-06-16,Content,14,1
340,5015,2024-09-15,Technical,3,1
341,8652,2025-08-02,Billing,3,1
342,3851,2025-03-02,Content,3,1
343,6955,2025-04-06,Billing,5,0
344,8930,2025-07-29,Content,17,1
345,8608,2025-04-01,Account,5,1
346,4954,2024-10-25,Billing,2,0
347,670,2024-11-19,Account,4,1
348,3577,2025-06-12,Content,2,1
349,4470,2025-02-21,Account,3,1
350,7724,2025-08-13,Account,1,1
351,6289,2025-07-03,Account,4,1
352,5614,2025-08-09,Account,15,1
353,4293,2024-12-24,Billing,5,1
354,9458,2025-02-11,Content,7,1
355,2215,2025-07-26,Technical,5,1
356,3991,2024-11-25,Billing,3,1
357,7473,2024-11-03,Content,1,1
358,5887,2025-05-01,Account,2,1
359,8821,2024-11-08,Content,5,0
360,3047,2025-08-01,Technical,2,0
361,3314,2025-04-01,Technical,6,0
362,1173,2025-06-11,Technical,4,1
363,6013,2024-12-18,Account,19,1
364,348,2025-04-12,Account,1,1
365,1118,2024-08-25,Account,1,1
366,1150,2025-03-10,Billing,7,1
367,1622,2024-08-21,Technical,4,1
368,5783,2024-08-30,Technical,9,0
369,9773,2025-07-22,Account,5,0
370,3088,2025-03-18,Account,4,1
371,3324,2025-07-07,Billing,7,1
372,1446,2024-09-24,Account,7,1
373,1733,2024-12-12,Account,9,0
374,6454,2025-06-25,Technical,2,1
375,3271,2025-03-02,Account,6,1
376,1776,2025-06-22,Account,11,1
377,4818,2025-08-02,Billing,4,1
378,1567,2025-06-18,Content,2,1
379,1782,2025-03-20,Content,6,0
380,2437,2024-10-11,Content,1,1
381,5964,2025-02-04,Account,1,1
382,5990,2025-04-04,Billing,4,1
383,906,2024-12-09,Technical,5,1
384,3718,2024-09-18,Content,3,1
385,1613,2024-09-20,Account,14,0
386,7611,2025-04-23,Account,7,1
387,4082,2024-11-03,Billing,4,1
388,2759,2025-03-28,Account,1,1
389,8736,2025-01-15,Technical,6,1
390,1834,2025-07-02,Account,7,1
391,1096,2024-10-31,Billing,7,1
392,3240,2024-11-01,Account,7,1
393,3646,2024-11-25,Content,9,0
394,1141,2025-01-24,Account,7,1
395,9466,2025-07-24,Billing,2,1
396,3046,2024-12-20,Account,15,0
397,9460,2024-11-28,Content,15,0
398,8223,2025-05-08,Billing,6,1
399,5019,2024-11-03,Content,2,1
400,1314,2024-10-19,Account,5,1
401,2076,2025-04-06,Technical,6,1
402,8621,2025-03-19,Content,4,0
403,1528,2025-01-18,Technical,3,1
404,6471,2024-10-24,Content,2,1
405,5160,2024-09-08,Technical,6,1
406,2102,2025-07-14,Account,6,1
407,5375,2025-08-13,Technical,1,1
408,4717,2025-05-05,Billing,1,1
409,2110,2025-05-24,Billing,1,1
410,3743,2025-07-18,Billing,7,0
411,7582,2025-07-21,Account,15,0
412,3662,2024-10-01,Billing,3,1
413,3261,2025-03-21,Account,2,1
414,6385,2025-02-11,Content,20,1
415,4515,2025-06-16,Account,4,1
416,7342,2024-08-29,Content,7,1
417,9863,2024-12-03,Technical,7,0
418,1569,2025-04-27,Billing,6,0
419,6300,2025-07-28,Billing,5,1
420,2580,2024-11-26,Technical,1,1
421,9548,2025-05-01,Technical,20,0
422,7501,2025-03-09,Content,16,1
423,376,2025-03-22,Technical,3,0
424,177,2024-10-28,Content,5,0
425,9979,2024-09-07,Account,6,1
426,1806,2025-07-30,Account,3,1
427,6402,2025-06-24,Billing,4,1
428,7948,2025-06-16,Billing,3,1
429,7683,2024-12-16,Content,7,1
430,8704,2024-12-06,Technical,5,1
431,4625,2024-08-27,Billing,14,1
432,2600,2024-10-03,Content,2,0
433,3914,2025-06-17,Content,2,1
434,1975,2024-08-29,Content,7,1
435,8701,2025-03-17,Account,4,1
436,3821,2024-12-01,Technical,5,1
437,1922,2024-10-25,Account,6,1
438,5474,2025-01-08,Account,10,1
439,707,2025-08-15,Content,9,1
440,7648,2025-01-08,Technical,3,1
441,8927,2024-10-16,Technical,8,1
442,9904,2024-09-17,Content,1,1
443,1941,2024-11-01,Content,7,1
444,9322,2024-09-09,Account,6,1
445,4554,2025-01-15,Account,11,1
446,1929,2025-05-13,Billing,6,1
447,7935,2025-03-31,Technical,3,1
448,3939,2024-08-25,Billing,3,0
449,6851,2025-04-08,Technical,4,1
450,2175,2025-06-10,Billing,3,1
451,924,2025-05-17,Technical,20,1
452,7470,2024-12-04,Technical,13,1
453,9120,2025-01-06,Account,6,1
454,2801,2024-12-23,Technical,2,1
455,4433,2025-04-13,Account,14,1
456,3315,2024-12-16,Account,7,1
457,7277,2024-10-05,Technical,2,1
458,7689,2025-04-20,Billing,1,1
459,3355,2025-04-22,Account,7,1
460,2952,2025-07-27,Billing,5,1
461,2007,2025-01-15,Technical,1,1
462,8147,2025-04-26,Content,4,1
463,434,2025-05-17,Content,15,1
464,6641,2025-06-26,Account,2,1
465,1538,2025-06-19,Billing,11,1
466,5260,2025-05-29,Account,5,1
467,6319,2025-04-20,Account,7,1
468,1360,2024-12-04,Technical,19,1
469,5869,2025-05-13,Account,5,1
470,5191,2024-09-04,Technical,7,1
471,4558,2025-03-25,Billing,9,1
472,7903,2024-12-23,Account,9,0
473,319,2024-11-01,Technical,4,1
474,1749,2024-10-27,Account,6,1
475,3193,2025-06-27,Account,17,1
476,3158,2024-09-04,Content,5,1
477,3143,2025-07-21,Technical,1,0
478,7562,2024-10-18,Account,7,1
479,8199,2025-01-07,Billing,20,1
480,3836,2025-06-05,Account,3,1
481,8819,2025-08-15,Billing,4,1
482,7268,2025-08-01,Billing,2,1
483,9255,2025-02-02,Billing,5,0
484,8234,2024-12-02,Account,7,1
485,6438,2025-08-18,Account,5,0
486,1124,2025-05-03,Account,5,1
487,4488,2025-03-17,Billing,4,1
488,2175,2025-07-20,Content,6,1
489,7813,2025-02-17,Billing,1,1
490,70,2025-07-05,Account,6,1
491,7858,2024-08-31,Billing,1,0
492,3403,2024-11-08,Account,1,1
493,4679,2024-12-10,Billing,1,1
494,1624,2025-01-07,Content,10,1
495,2157,2025-02-14,Billing,2,1
496,1252,2024-11-15,Account,2,1
497,2633,2025-07-31,Account,2,0
498,7252,2024-09-24,Billing,4,1
499,9734,2024-11-26,Technical,7,1
500,1729,2024-12-25,Content,4,1
501,7830,2024-10-04,Account,12,0
502,8141,2025-04-23,Technical,7,0
503,9712,2025-01-18,Content,3,1
504,7113,2025-05-03,Billing,5,1
505,5950,2024-08-29,Billing,5,1
506,8876,2024-10-05,Technical,7,0
507,848,2025-05-30,Content,3,1
508,1094,2024-11-23,Technical,5,1
509,1786,2025-04-07,Billing,14,1
510,3632,2025-03-25,Billing,4,1
511,6055,2025-01-07,Content,1,1
512,7410,2025-03-29,Technical,4,1
513,4068,2025-02-24,Technical,2,1
514,6859,2024-09-13,Content,7,1
515,3152,2025-02-12,Technical,4,1
516,5288,2025-05-19,Content,4,1
517,8424,2025-01-01,Account,7,1
518,6611,2024-08-20,Billing,6,1
519,8793,2024-10-08,Account,3,0
520,4073,2024-08-30,Billing,1,0
521,1989,2025-02-26,Account,8,1
522,8048,2024-12-06,Technical,4,1
523,8430,2025-01-31,Account,7,1
524,5275,2024-11-19,Billing,7,0
525,3979,2024-10-07,Content,4,0
526,9905,2024-09-28,Content,2,0
527,7764,2025-07-10,Content,8,1
528,227,2025-03-23,Content,1,1
529,1857,2025-03-20,Account,2,1
530,4305,2025-04-26,Account,5,1
531,7329,2024-10-08,Technical,5,1
532,2010,2025-03-12,Billing,1,1
533,8631,2025-02-02,Technical,6,1
534,8490,2024-09-13,Content,12,1
535,5302,2025-06-10,Content,6,1
536,9462,2025-06-04,Account,3,1
537,8989,2024-11-07,Account,5,1
538,4273,2024-11-11,Account,1,1
539,5546,2025-03-06,Content,8,1
540,2938,2025-07-02,Account,5,1
541,7091,2025-05-17,Account,5,1
542,5898,2024-12-26,Account,4,1
543,571,2025-05-30,Billing,10,0
544,5939,2025-05-26,Content,6,1
545,9056,2024-09-16,Account,14,1
546,1241,2025-01-28,Technical,7,1
547,6184,2024-09-15,Account,5,1
548,4260,2025-02-11,Content,2,1
549,6595,2024-12-23,Account,4,1
550,1181,2024-09-01,Technical,6,1
551,4865,2025-03-21,Billing,1,0
552,8384,2024-10-29,Billing,2,1
553,3227,2025-01-26,Content,1,1
554,7655,2024-09-12,Billing,3,1
555,6018,2024-09-28,Content,7,1
556,6349,2024-12-18,Billing,1,1
557,998,2024-10-09,Content,6,1
558,6444,2024-10-03,Technical,9,1
559,5035,2024-12-27,Technical,5,1
560,6767,2025-08-18,Account,6,1
561,8369,2025-05-24,Account,7,1
562,74,2025-05-19,Billing,5,1
563,2303,2025-08-09,Billing,5,1
564,1769,2024-12-08,Account,4,0
565,9164,2025-02-17,Account,11,0
566,447,2024-10-25,Technical,5,1
567,2860,2025-01-15,Billing,3,0
568,8353,2024-12-23,Account,2,1
569,7024,2024-11-09,Account,7,1
570,3617,2025-02-13,Technical,7,1
571,9840,2025-03-28,Account,8,0
572,4044,2025-02-15,Billing,2,1
573,6447,2025-04-06,Technical,1,1
574,2799,2025-03-26,Content,6,1
575,6312,2024-08-28,Content,2,1
576,7073,2025-05-01,Content,3,1
577,8720,2025-03-20,Technical,3,1
578,7068,2024-09-12,Account,11,1
579,8393,2025-08-04,Account,4,1
580,9038,2025-01-24,Content,2,1
581,8858,2025-05-06,Account,5,1
582,2787,2024-12-23,Billing,7,0
583,4134,2024-10-04,Account,19,1
584,5077,2024-12-22,Billing,5,1
585,7929,2024-09-12,Billing,6,1
586,2876,2024-10-27,Content,3,1
587,6253,2025-06-27,Content,12,0
588,5835,2024-09-14,Account,7,0
589,4085,2025-01-11,Content,15,1
590,2535,2024-09-11,Billing,12,1
591,629,2025-08-06,Technical,6,1
592,5856,2024-10-24,Technical,1,1
593,6868,2025-03-07,Technical,5,1
594,7393,2024-10-28,Content,3,1
595,8911,2024-08-29,Billing,1,1
596,9942,2024-08-21,Technical,19,0
597,4961,2024-12-24,Technical,7,0
598,5129,2024-12-05,Billing,12,1
599,4128,2025-07-02,Content,2,1
600,1332,2025-01-02,Content,7,1
601,7791,2025-01-21,Billing,1,1
602,622,2024-11-15,Billing,6,1
603,1726,2025-02-02,Billing,5,1
604,523,2024-12-08,Account,13,1
605,2975,2025-02-20,Content,6,1
606,8923,2024-11-29,Billing,16,1
607,9750,2025-05-20,Content,4,1
608,4586,2025-02-18,Technical,7,1
609,7753,2025-03-03,Content,7,1
610,5084,2025-06-27,Content,17,1
611,1,2025-06-27,Technical,16,0
612,5334,2025-04-05,Billing,3,1
613,9506,2025-02-18,Billing,4,1
614,9284,2025-07-11,Technical,6,1
615,7405,2025-01-13,Content,5,1
616,3050,2025-01-09,Account,6,1
617,1761,2025-04-08,Account,16,0
618,725,2025-07-09,Technical,6,1
619,8096,2025-07-08,Account,5,1
620,1955,2025-05-16,Account,7,1
621,650,2024-09-23,Account,1,0
622,1647,2024-10-05,Content,2,1
623,285,2025-04-14,Technical,7,1
624,5285,2025-04-18,Content,7,1
625,7769,2025-06-19,Billing,1,1
626,4151,2025-04-04,Billing,1,1
627,2331,2025-08-16,Account,4,1
628,1787,2024-10-28,Content,5,0
629,9049,2024-12-05,Technical,1,1
630,9289,2025-04-10,Technical,2,1
631,3037,2024-09-06,Technical,5,1
632,6141,2024-09-18,Technical,4,1
633,1178,2025-05-14,Content,4,0
634,1983,2025-01-30,Billing,3,1
635,4867,2025-08-19,Billing,3,1
636,5406,2025-02-27,Billing,9,0
637,8763,2025-02-06,Billing,8,1
638,5341,2025-07-27,Billing,6,1
639,6005,2025-07-27,Content,5,1
640,9313,2025-04-10,Technical,14,1
641,2979,2025-07-25,Billing,3,1
642,3950,2025-04-03,Technical,14,0
643,1205,2025-01-14,Billing,5,1
644,3775,2025-04-25,Account,2,0
645,6691,2025-07-28,Account,4,1
646,8219,2024-12-15,Billing,7,1
647,3054,2025-03-24,Content,13,0
648,6020,2025-08-13,Account,1,1
649,5631,2024-08-26,Account,6,0
650,7988,2025-08-15,Technical,13,0
651,9046,2024-11-23,Billing,2,1
652,6764,2024-11-20,Account,5,1
653,4235,2025-08-02,Content,6,1
654,7330,2025-03-14,Billing,5,1
655,8477,2024-10-14,Content,6,1
656,4691,2025-01-27,Account,14,0
657,1308,2025-04-23,Technical,5,1
658,3067,2025-06-01,Content,18,1
659,5558,2025-01-04,Account,1,0
660,4203,2024-10-23,Billing,20,1
661,1121,2025-02-25,Content,3,1
662,4017,2024-12-08,Account,1,1
663,1956,2024-10-16,Account,3,1
664,7661,2024-11-21,Content,15,1
665,4808,2025-03-08,Billing,8,0
666,9725,2025-04-15,Billing,4,1
667,4393,2025-02-11,Technical,19,1
668,998,2024-09-21,Account,5,1
669,7244,2025-05-16,Billing,2,1
670,3883,2024-09-13,Billing,1,1
671,2049,2025-08-01,Content,6,1
672,9906,2024-10-27,Content,4,1
673,56,2025-06-15,Account,6,1
674,9428,2024-10-29,Technical,2,1
675,558,2025-08-14,Billing,7,1
676,1917,2025-08-09,Account,4,1
677,9205,2025-04-18,Technical,3,0
678,2999,2025-07-30,Billing,7,1
679,5625,2025-01-28,Technical,5,1
680,8843,2024-08-30,Billing,3,1
681,8684,2025-03-19,Content,3,1
682,8800,2025-07-15,Technical,7,1
683,3211,2024-11-30,Billing,12,0
684,939,2024-12-11,Account,3,1
685,6103,2025-04-15,Technical,7,1
686,5974,2025-08-11,Billing,6,1
687,6047,2025-05-20,Billing,4,1
688,9101,2025-08-06,Technical,6,1
689,6083,2025-06-27,Billing,3,1
690,4323,2024-10-29,Content,5,1
691,5956,2025-07-20,Content,6,1
692,6597,2024-10-01,Account,9,0
693,6824,2025-03-27,Content,4,1
694,4388,2024-12-22,Account,4,1
695,8864,2025-05-10,Account,7,1
696,4350,2024-08-26,Technical,1,0
697,5370,2025-04-10,Content,2,1
698,1246,2025-05-12,Billing,3,1
699,5760,2025-02-20,Content,1,1
700,6128,2025-08-15,Technical,3,1
701,2152,2024-09-04,Billing,5,1
702,2453,2025-01-22,Content,1,1
703,6544,2025-07-14,Content,8,0
704,9469,2025-01-02,Technical,2,1
705,7873,2025-08-06,Billing,2,1
706,5132,2024-08-27,Technical,4,1
707,7486,2024-09-09,Account,1,1
708,7386,2024-12-18,Technical,2,1
709,8901,2024-12-27,Content,9,1
710,3636,2025-05-29,Account,3,1
711,8108,2025-03-25,Content,6,1
712,455,2024-11-10,Technical,15,0
713,6198,2025-01-08,Technical,4,1
714,7243,2025-01-04,Technical,2,1
715,9696,2025-04-09,Content,2,1
716,6299,2025-06-01,Billing,6,1
717,577,2025-06-17,Billing,4,1
