usage_id,customer_id,minutes_watched,genre,device
71,6961,218,Drama,Tablet
72,7269,125,Drama,Laptop
73,7876,80,Documentary,Mobile
74,2592,22,Comedy,Tablet
75,9759,383,Sci-Fi,Smart TV
76,9402,115,Documentary,Smart TV
77,6005,159,Sci-Fi,Laptop
78,8062,379,Sci-Fi,Laptop
79,6448,86,Documentary,Laptop
80,1252,208,Comedy,Laptop
81,7221,403,Documentary,Tablet
82,489,200,Comedy,Mobile
83,4054,321,Comedy,Laptop
84,9165,284,Documentary,Laptop
85,5134,124,Comedy,Tablet
86,3360,226,Sci-Fi,Smart TV
87,3860,424,Comedy,Smart TV
88,5321,149,Documentary,Mobile
89,992,458,Drama,Mobile
90,5061,131,Action,Laptop
91,2974,224,Comedy,Smart TV
92,6286,334,Documentary,Smart TV
93,58,276,Drama,Laptop
94,18,22,Action,Tablet
95,7201,372,Action,Tablet
96,3777,126,Action,Tablet
97,3848,422,Documentary,Laptop
98,7372,214,Drama,Smart TV
99,6838,100,Sci-Fi,Laptop
100,5367,245,Documentary,Tablet
101,5203,256,Comedy,Tablet
102,6258,236,Documentary,Smart TV
103,617,286,Action,Tablet
104,9162,267,Action,Tablet
105,1792,307,Drama,Laptop
106,1086,104,Action,Tablet
107,4417,485,Documentary,Mobile
108,7446,213,Drama,Tablet
109,8152,260,Documentary,Mobile
110,1881,35,Documentary,Tablet
111,2822,438,Action,Mobile
112,3603,176,Sci-Fi,Laptop
113,8094,285,Drama,Laptop
114,1079,398,Comedy,Laptop
115,4982,144,Comedy,Laptop
116,9627,302,Sci-Fi,Tablet
117,662,306,Documentary,Laptop
118,3702,443,Documentary,Laptop
119,2219,483,Drama,Laptop
120,9191,468,Action,Smart TV
121,9028,45,Sci-Fi,Tablet
122,2958,204,Sci-Fi,Tablet
123,2770,434,Action,Tablet
124,2650,200,Comedy,Tablet
125,3256,492,Action,Smart TV
126,3705,500,Action,Tablet
127,299,429,Comedy,Tablet
128,1634,396,Action,Smart TV
129,4402,252,Action,Smart TV
130,3877,156,Comedy,Tablet
131,6675,289,Documentary,Smart TV
132,9672,184,Sci-Fi,Laptop
133,7286,230,Documentary,Tablet
134,1915,30,Comedy,Laptop
135,7387,247,Documentary,Laptop
136,7313,256,Comedy,Mobile
137,4036,216,Documentary,Smart TV
138,3575,181,Sci-Fi,Smart TV
139,3025,106,Comedy,Tablet
140,1104,483,Sci-Fi,Smart TV
141,850,135,Drama,Tablet
142,5015,240,Documentary,Tablet
143,1661,311,Comedy,Mobile
144,8489,61,Action,Tablet
145,4947,243,Action,Tablet
146,1455,137,Drama,Mobile
147,9027,202,Documentary,Mobile
148,1023,222,Sci-Fi,Mobile
149,1923,451,Comedy,Laptop
150,7044,115,Documentary,Laptop
151,1353,27,Sci-Fi,Tablet
152,9160,275,Sci-Fi,Smart TV
153,8442,366,Documentary,Laptop
154,2869,441,Comedy,Laptop
155,4936,173,Sci-Fi,Mobile
156,7073,287,Comedy,Smart TV
157,2686,88,Documentary,Tablet
158,3044,255,Sci-Fi,Mobile
159,6995,318,Drama,Smart TV
160,7436,39,Drama,Tablet
161,8398,499,Drama,Smart TV
162,9263,72,Action,Tablet
163,1788,114,Action,Laptop
164,7452,321,Action,Mobile
165,4035,146,Drama,Laptop
166,9891,154,Documentary,Laptop
167,3770,219,Documentary,Laptop
168,8415,421,Comedy,Tablet
169,4122,439,Documentary,Smart TV
170,2827,59,Drama,Smart TV
171,2042,349,Drama,Tablet
172,1537,303,Documentary,Laptop
173,8052,286,Documentary,Mobile
174,7025,134,Drama,Mobile
175,5732,236,Drama,Mobile
176,5599,243,Sci-Fi,Laptop
177,8376,428,Sci-Fi,Mobile
178,2346,375,Comedy,Smart TV
179,6294,120,Documentary,Tablet
180,5842,138,Sci-Fi,Tablet
181,300,320,Comedy,Mobile
182,8195,53,Documentary,Tablet
183,7758,44,Drama,Tablet
184,2496,236,Comedy,Smart TV
185,9319,24,Drama,Tablet
186,9931,197,Sci-Fi,Mobile
187,8184,126,Action,Mobile
188,2198,68,Comedy,Mobile
189,1443,226,Sci-Fi,Mobile
190,191,379,Comedy,Laptop
191,4162,127,Action,Mobile
192,1794,136,Sci-Fi,Smart TV
193,3996,291,Drama,Tablet
194,2530,481,Documentary,Laptop
195,9703,129,Sci-Fi,Mobile
196,7771,300,Action,Laptop
197,6729,171,Sci-Fi,Mobile
198,5162,128,Sci-Fi,Mobile
199,4281,402,Action,Smart TV
200,6076,159,Sci-Fi,Laptop
201,3022,131,Comedy,Tablet
202,4126,281,Action,Mobile
203,256,183,Documentary,Tablet
204,5991,156,Drama,Smart TV
205,5038,124,Comedy,Laptop
206,1825,410,Drama,Smart TV
207,7224,65,Action,Tablet
208,361,176,Sci-Fi,Tablet
209,9407,314,Drama,Laptop
210,9460,175,Drama,Tablet
211,8443,380,Sci-Fi,Mobile
212,5411,351,Sci-Fi,Mobile
213,3073,206,Action,Laptop
214,7443,443,Action,Laptop
215,6419,121,Drama,Tablet
216,9806,183,Comedy,Tablet
217,496,183,Action,Smart TV
218,212,276,Sci-Fi,Tablet
219,2002,390,Sci-Fi,Tablet
220,3231,108,Comedy,Laptop
221,5194,54,Comedy,Tablet
222,7182,47,Comedy,Laptop
223,8714,260,Sci-Fi,Tablet
224,2962,429,Sci-Fi,Tablet
225,1801,178,Drama,Laptop
226,7336,236,Action,Tablet
227,1383,361,Action,Mobile
228,7987,457,Sci-Fi,Laptop
229,148,390,Action,Smart TV
230,9608,425,Action,Smart TV
231,6905,145,Action,Tablet
232,7505,25,Comedy,Tablet
233,8055,378,Drama,Mobile
234,9275,232,Action,Mobile
235,4308,250,Action,Laptop
236,2232,335,Action,Tablet
237,2122,274,Sci-Fi,Smart TV
238,5218,70,Comedy,Mobile
239,7945,295,Drama,Mobile
240,9445,207,Comedy,Laptop
241,457,436,Sci-Fi,Mobile
242,6062,291,Documentary,Tablet
243,3341,18,Comedy,Mobile
244,5338,494,Comedy,Tablet
245,204,298,Comedy,Tablet
246,3678,479,Sci-Fi,Smart TV
247,4947,440,Documentary,Laptop
248,6451,491,Documentary,Laptop
249,4793,137,Documentary,Tablet
250,1515,492,Comedy,Mobile
251,6294,86,Action,Laptop
252,1223,460,Comedy,Laptop
253,1189,398,Documentary,Mobile
254,143,379,Action,Laptop
255,468,328,Sci-Fi,Tablet
256,1114,213,Action,Smart TV
257,4636,232,Action,Smart TV
258,1683,204,Documentary,Laptop
259,2239,17,Comedy,Tablet
260,3087,50,Drama,Tablet
261,3820,258,Drama,Mobile
262,1418,23,Action,Mobile
263,2508,91,Sci-Fi,Tablet
264,9149,195,Action,Tablet
265,5776,114,Drama,Mobile
266,4114,398,Drama,Laptop
267,5888,459,Documentary,Laptop
268,2515,244,Documentary,Smart TV
269,1375,392,Comedy,Tablet
270,119,29,Comedy,Smart TV
271,3140,415,Documentary,Smart TV
272,1605,498,Comedy,Mobile
273,998,269,Action,Mobile
274,7157,228,Comedy,Laptop
275,74,254,Drama,Tablet
276,7812,128,Documentary,Tablet
277,918,426,Action,Mobile
278,7385,79,Action,Tablet
279,5890,302,Action,Tablet
280,1923,426,Drama,Smart TV
281,121,109,Sci-Fi,Tablet
282,6342,351,Sci-Fi,Mobile
283,4757,103,Action,Smart TV
284,3433,317,Comedy,Mobile
285,4465,463,Documentary,Mobile
286,3286,426,Sci-Fi,Mobile
287,6910,57,Sci-Fi,Tablet
288,183,67,Action,Tablet
289,7236,428,Drama,Mobile
290,7003,438,Action,Mobile
291,6696,88,Action,Tablet
292,7821,378,Sci-Fi,Tablet
293,6454,354,Sci-Fi,Smart TV
294,3513,71,Drama,Laptop
295,879,84,Action,Tablet
296,3522,150,Comedy,Tablet
297,7066,154,Drama,Tablet
298,3265,164,Drama,Mobile
299,4158,180,Action,Smart TV
300,4362,82,Comedy,Smart TV
301,9793,103,Comedy,Mobile
302,6450,194,Drama,Tablet
303,6258,441,Comedy,Mobile
304,9395,365,Action,Tablet
305,8735,361,Documentary,Laptop
306,203,101,Sci-Fi,Laptop
307,7881,183,Documentary,Tablet
308,9407,197,Comedy,Laptop
309,8230,317,Sci-Fi,Laptop
310,2342,338,Documentary,Mobile
311,8068,47,Drama,Mobile
312,3785,248,Drama,Smart TV
313,2232,263,Sci-Fi,Mobile
314,4104,191,Documentary,Tablet
315,2398,112,Comedy,Tablet
316,7948,268,Drama,Mobile
317,9498,122,Documentary,Tablet
318,8067,329,Comedy,Laptop
319,5003,115,Drama,Tablet
320,2434,200,Documentary,Smart TV
321,9407,498,Comedy,Tablet
322,1787,18,Comedy,Smart TV
323,1545,308,Action,Mobile
324,9921,154,Sci-Fi,Tablet
325,3533,44,Documentary,Tablet
326,8112,391,Drama,Mobile
327,3637,129,Sci-Fi,Laptop
328,6784,133,Drama,Tablet
329,810,105,Comedy,Smart TV
330,4823,207,Sci-Fi,Tablet
331,8596,81,Sci-Fi,Smart TV
332,1901,33,Action,Smart TV
333,8127,304,Action,Smart TV
334,5860,97,Action,Tablet
335,8798,105,Sci-Fi,Tablet
336,6452,495,Documentary,Smart TV
337,3024,448,Action,Laptop
338,6769,284,Sci-Fi,Smart TV
339,200,303,Action,Laptop
340,6339,170,Sci-Fi,Mobile
341,8761,154,Sci-Fi,Smart TV
342,4463,148,Documentary,Laptop
343,4783,79,Comedy,Tablet
344,4789,131,Documentary,Smart TV
345,9375,324,Sci-Fi,Tablet
346,7670,371,Sci-Fi,Tablet
347,3944,161,Action,Tablet
348,8094,390,Comedy,Mobile
349,6867,366,Comedy,Mobile
350,5013,473,Comedy,Smart TV
351,3584,123,Action,Tablet
352,5313,467,Sci-Fi,Tablet
353,7136,301,Drama,Tablet
354,6397,370,Documentary,Mobile
355,274,378,Action,Smart TV
356,5296,169,Comedy,Tablet
357,3953,299,Comedy,Smart TV
358,2727,310,Action,Mobile
359,6910,193,Action,Smart TV
360,8755,79,Comedy,Tablet
361,5926,165,Drama,Mobile
362,955,132,Documentary,Mobile
363,8380,275,Sci-Fi,Tablet
364,6487,197,Drama,Laptop
365,3739,275,Sci-Fi,Mobile
366,7377,330,Comedy,Tablet
367,6271,248,Sci-Fi,Laptop
368,6812,143,Sci-Fi,Mobile
369,3737,222,Comedy,Smart TV
370,4744,129,Action,Laptop
371,1862,173,Action,Laptop
372,2581,256,Comedy,Laptop
373,7269,155,Drama,Laptop
374,342,179,Action,Smart TV
375,147,391,Comedy,Laptop
376,8272,170,Documentary,Mobile
377,2349,38,Drama,Laptop
378,1775,267,Drama,Smart TV
379,1714,295,Documentary,Mobile
380,7937,143,Documentary,Mobile
381,7867,250,Action,Smart TV
382,3921,366,Action,Mobile
383,9511,119,Comedy,Tablet
384,3791,23,Drama,Tablet
385,7014,469,Drama,Smart TV
386,5980,193,Action,Tablet
387,8489,37,Drama,Tablet
388,3901,323,Comedy,Smart TV
389,9546,481,Documentary,Tablet
390,8814,136,Comedy,Tablet
391,3005,208,Drama,Laptop
392,6691,286,Documentary,Mobile
393,8476,135,Drama,Tablet
394,509,100,Documentary,Smart TV
395,9677,152,Drama,Mobile
396,2249,103,Action,Tablet
397,9653,482,Drama,Tablet
398,1676,258,Comedy,Tablet
399,6069,187,Drama,Mobile
400,9932,59,Comedy,Tablet
401,5529,185,Documentary,Tablet
402,5612,59,Documentary,Smart TV
403,2966,125,Drama,Laptop
404,6046,193,Comedy,Mobile
405,5835,46,Action,Mobile
406,190,327,Action,Laptop
407,3265,103,Action,Mobile
408,9726,229,Sci-Fi,Smart TV
409,3228,153,Comedy,Mobile
410,4218,167,Action,Tablet
411,470,274,Documentary,Mobile
412,8406,438,Action,Mobile
413,3950,186,Documentary,Mobile
414,2524,407,Sci-Fi,Laptop
415,3249,126,Sci-Fi,Tablet
416,283,318,Documentary,Tablet
417,5333,315,Comedy,Tablet
418,3301,81,Action,Tablet
419,6644,363,Comedy,Mobile
420,4675,142,Documentary,Tablet
421,5247,283,Documentary,Mobile
422,3687,155,Documentary,Mobile
423,5621,424,Action,Laptop
424,8794,199,Action,Smart TV
425,9023,124,Comedy,Tablet
426,9086,75,Action,Tablet
427,7429,338,Sci-Fi,Smart TV
428,7026,353,Documentary,Laptop
429,9868,151,Documentary,Tablet
430,5534,241,Documentary,Tablet
431,6901,209,Action,Tablet
432,6437,478,Documentary,Smart TV
433,1457,390,Sci-Fi,Smart TV
434,5150,173,Comedy,Smart TV
435,1625,100,Documentary,Smart TV
436,3532,35,Comedy,Smart TV
437,1300,404,Comedy,Laptop
438,8407,102,Sci-Fi,Smart TV
439,5225,232,Action,Mobile
440,145,201,Drama,Tablet
441,7649,297,Sci-Fi,Mobile
442,9972,370,Sci-Fi,Laptop
443,583,423,Drama,Tablet
444,8048,259,Action,Smart TV
445,8048,427,Sci-Fi,Laptop
446,1609,133,Comedy,Laptop
447,2222,89,Drama,Tablet
448,1853,301,Action,Laptop
449,5473,496,Documentary,Mobile
450,4325,323,Sci-Fi,Smart TV
451,6381,423,Documentary,Mobile
452,832,393,Action,Tablet
453,8030,149,Drama,Laptop
454,828,373,Sci-Fi,Tablet
455,9429,313,Comedy,Laptop
456,9008,352,Action,Tablet
457,2094,317,Action,Mobile
458,1525,320,Drama,Laptop
459,6529,436,Sci-Fi,Smart TV
460,5866,222,Comedy,Laptop
461,6183,113,Documentary,Mobile
462,8738,32,Action,Smart TV
463,2959,280,Drama,Laptop
464,8346,156,Documentary,Tablet
465,962,121,Documentary,Tablet
466,2590,103,Documentary,Tablet
467,3310,391,Drama,Tablet
468,9462,183,Drama,Laptop
469,6395,306,Comedy,Tablet
470,2577,479,Sci-Fi,Smart TV
471,7741,176,Drama,Mobile
472,2429,88,Action,Laptop
473,5982,240,Action,Mobile
474,7889,133,Comedy,Tablet
475,2016,13,Sci-Fi,Mobile
476,6892,23,Sci-Fi,Laptop
477,3676,127,Comedy,Smart TV
478,9508,345,Documentary,Mobile
479,5646,264,Drama,Mobile
480,3057,189,Documentary,Tablet
481,4499,296,Drama,Laptop
482,8070,133,Documentary,Smart TV
483,6106,133,Action,Mobile
484,7240,445,Sci-Fi,Mobile
485,1217,136,Drama,Mobile
486,9416,49,Drama,Smart TV
487,484,461,Sci-Fi,Mobile
488,2949,114,Documentary,Mobile
489,439,221,Drama,Mobile
490,5850,179,Action,Tablet
491,4707,463,Action,Smart TV
492,3505,131,Comedy,Tablet
493,6851,437,Sci-Fi,Mobile
494,4124,406,Documentary,Laptop
495,7221,298,Drama,Tablet
496,9145,453,Drama,Tablet
497,7982,488,Sci-Fi,Smart TV
498,6997,353,Sci-Fi,Smart TV
499,495,344,Action,Tablet
500,7712,90,Comedy,Tablet
501,4875,185,Action,Mobile
502,5529,468,Documentary,Tablet
503,9478,377,Comedy,Tablet
504,2368,311,Drama,Tablet
505,323,345,Sci-Fi,Smart TV
506,4792,54,Action,Smart TV
507,507,119,Comedy,Mobile
508,5277,154,Comedy,Mobile
509,2841,277,Comedy,Laptop
510,8907,168,Drama,Tablet
511,7305,160,Drama,Tablet
512,3392,296,Documentary,Laptop
513,6104,50,Drama,Tablet
514,3666,321,Action,Mobile
515,6227,464,Drama,Mobile
516,9840,182,Drama,Tablet
517,7414,294,Comedy,Mobile
518,9290,304,Sci-Fi,Laptop
519,9325,211,Drama,Mobile
520,5276,131,Documentary,Mobile
521,5997,169,Drama,Smart TV
522,8663,411,Drama,Tablet
523,7124,236,Comedy,Smart TV
524,1339,257,Drama,Mobile
525,1103,422,Drama,Mobile
526,9175,87,Sci-Fi,Laptop
527,6288,157,Comedy,Tablet
528,8510,417,Documentary,Laptop
529,4679,451,Documentary,Laptop
530,4263,250,Drama,Mobile
531,4088,195,Drama,Laptop
532,2746,407,Drama,Tablet
533,6343,189,Comedy,Tablet
534,4679,194,Drama,Smart TV
535,1716,475,Comedy,Smart TV
536,3144,106,Comedy,Smart TV
537,4342,297,Comedy,Mobile
538,2305,325,Documentary,Mobile
539,818,68,Action,Mobile
540,3087,157,Sci-Fi,Smart TV
541,6655,391,Drama,Tablet
542,946,195,Sci-Fi,Mobile
543,4913,162,Sci-Fi,Tablet
544,267,418,Comedy,Laptop
545,3457,41,Sci-Fi,Tablet
546,6777,124,Comedy,Smart TV
547,7457,43,Action,Tablet
548,2204,57,Comedy,Smart TV
549,8602,314,Comedy,Tablet
550,564,406,Drama,Tablet
551,9015,170,Comedy,Tablet
552,5985,161,Drama,Tablet
553,3505,167,Action,Tablet
554,4994,473,Action,Mobile
555,9475,190,Drama,Smart TV
556,4647,189,Comedy,Tablet
557,8139,69,Comedy,Tablet
558,3945,171,Documentary,Smart TV
559,7142,20,Action,Tablet
560,9502,481,Action,Mobile
561,5052,287,Sci-Fi,Smart TV
562,8064,107,Action,Laptop
563,1055,376,Drama,Mobile
564,9085,256,Comedy,Smart TV
565,5684,474,Action,Tablet
566,4051,438,Documentary,Smart TV
567,196,42,Action,Mobile
568,1871,363,Documentary,Laptop
569,459,302,Comedy,Tablet
570,8290,315,Sci-Fi,Mobile
571,4977,175,Comedy,Mobile
572,1430,52,Comedy,Mobile
573,3449,299,Action,Tablet
574,3083,323,Comedy,Mobile
575,8777,399,Drama,Mobile
576,9380,118,Action,Mobile
577,597,452,Action,Smart TV
578,2532,88,Action,Tablet
579,4665,302,Drama,Smart TV
580,1624,193,Action,Smart TV
581,7050,281,Sci-Fi,Laptop
582,4778,351,Comedy,Smart TV
583,5928,33,Action,Tablet
584,2201,310,Sci-Fi,Laptop
585,2333,34,Documentary,Tablet
586,5323,260,Sci-Fi,Smart TV
587,1701,36,Sci-Fi,Tablet
588,4078,47,Comedy,Tablet
589,7854,285,Action,Mobile
590,5223,417,Documentary,Smart TV
591,1971,242,Action,Smart TV
592,5554,295,Drama,Mobile
593,8778,249,Sci-Fi,Smart TV
594,6829,289,Drama,Tablet
595,9736,151,Drama,Laptop
596,3936,260,Sci-Fi,Laptop
597,1107,87,Drama,Laptop
598,3784,265,Action,Tablet
599,8849,45,Drama,Tablet
600,801,314,Documentary,Laptop
601,6576,259,Sci-Fi,Laptop
602,3764,165,Sci-Fi,Laptop
603,9460,88,Action,Tablet
604,6410,197,Comedy,Smart TV
605,3184,263,Action,Laptop
606,9604,182,Action,Smart TV
607,1072,296,Sci-Fi,Tablet
608,9186,487,Comedy,Laptop
609,5174,159,Sci-Fi,Smart TV
610,4964,149,Action,Tablet
611,426,53,Comedy,Tablet
612,4080,109,Documentary,Mobile
613,1856,141,Sci-Fi,Tablet
614,2713,364,Documentary,Laptop
615,9801,269,Documentary,Laptop
616,9975,112,Action,Smart TV
617,9061,395,Drama,Tablet
618,542,479,Action,Laptop
619,2201,207,Action,Laptop
620,8105,220,Comedy,Laptop
621,806,259,Sci-Fi,Mobile
622,7216,209,Documentary,Laptop
623,3028,492,Sci-Fi,Smart TV
624,2706,76,Comedy,Tablet
625,5055,14,Comedy,Tablet
626,5484,229,Documentary,Mobile
627,3532,89,Sci-Fi,Smart TV
628,6448,193,Sci-Fi,Tablet
629,4895,127,Sci-Fi,Tablet
630,3915,449,Drama,Mobile
631,7008,118,Sci-Fi,Tablet
632,4222,33,Action,Tablet
633,2570,478,Comedy,Laptop
634,2629,152,Drama,Tablet
635,6839,193,Documentary,Tablet
636,5967,92,Documentary,Laptop
637,4016,404,Action,Laptop
638,8993,151,Action,Tablet
639,9247,310,Documentary,Smart TV
640,8456,321,Documentary,Smart TV
641,3635,205,Sci-Fi,Mobile
642,2167,364,Documentary,Mobile
643,1792,263,Comedy,Mobile
644,6465,463,Action,Tablet
645,6767,192,Drama,Tablet
646,379,220,Sci-Fi,Mobile
647,6278,274,Documentary,Tablet
648,9060,475,Comedy,Smart TV
649,8058,443,Comedy,Smart TV
650,9393,314,Documentary,Mobile
651,1610,115,Documentary,Laptop
652,3652,194,Documentary,Laptop
653,6184,188,Sci-Fi,Mobile
654,8227,37,Action,Tablet
655,6839,188,Comedy,Mobile
656,7929,127,Comedy,Tablet
657,1882,478,Action,Mobile
658,5057,84,Drama,Tablet
659,682,196,Action,Laptop
660,6040,199,Action,Mobile
661,4311,175,Comedy,Mobile
662,1008,415,Drama,Laptop
663,7825,303,Drama,Laptop
664,9172,322,Action,Smart TV
665,3219,171,Comedy,Laptop
666,8474,400,Documentary,Tablet
667,2756,291,Documentary,Smart TV
668,6357,294,Documentary,Mobile
669,9084,49,Drama,Mobile
670,54,353,Documentary,Smart TV
671,7526,112,Documentary,Mobile
672,1974,148,Action,Tablet
673,2342,434,Comedy,Laptop
674,739,111,Documentary,Tablet
675,898,36,Documentary,Tablet
676,5484,332,Documentary,Smart TV
677,9656,445,Action,Mobile
678,5185,477,Documentary,Laptop
679,3739,243,Documentary,Smart TV
680,833,401,Sci-Fi,Smart TV
681,3061,161,Action,Tablet
682,4549,239,Drama,Laptop
683,846,197,Sci-Fi,Tablet
684,9365,55,Drama,Smart TV
685,5818,425,Sci-Fi,Laptop
686,8537,229,Comedy,Smart TV
687,4915,467,Comedy,Laptop
688,2032,146,Comedy,Laptop
689,9208,407,Comedy,Laptop
690,6042,434,Action,Laptop
691,5652,172,Sci-Fi,Mobile
692,6006,273,Comedy,Mobile
693,9302,36,Comedy,Mobile
694,7691,421,Action,Tablet
695,4584,182,Drama,Smart TV
696,1670,59,Sci-Fi,Tablet
697,3954,229,Drama,Smart TV
698,8944,57,Sci-Fi,Tablet
699,2247,345,Comedy,Mobile
700,6838,333,Drama,Laptop
701,4749,497,Drama,Smart TV
702,7685,117,Documentary,Tablet
703,6344,500,Documentary,Laptop
704,1134,437,Comedy,Laptop
705,8524,90,Comedy,Smart TV
706,9841,323,Action,Tablet
707,4188,51,Drama,Tablet
708,5018,138,Drama,Laptop
709,9208,189,Sci-Fi,Mobile
710,1983,457,Documentary,Laptop
711,1302,126,Sci-Fi,Smart TV
712,1861,379,Drama,Mobile
713,10000,311,Drama,Mobile
714,9472,229,Documentary,Smart TV
715,1728,165,Action,Smart TV
716,157,197,Drama,Tablet
717,8379,83,Sci-Fi,Tablet
718,4138,192,Documentary,Laptop
719,6770,463,Sci-Fi,Mobile
720,9033,151,Sci-Fi,Laptop
721,688,458,Documentary,Tablet
722,9335,11,Comedy,Smart TV
723,8995,156,Documentary,Smart TV
724,9746,325,Drama,Smart TV
725,5619,223,Sci-Fi,Laptop
726,6889,133,Sci-Fi,Tablet
727,9336,285,Comedy,Mobile
728,1328,177,Drama,Laptop
729,4557,111,Comedy,Mobile
730,2748,368,Drama,Tablet
731,7914,314,Drama,Tablet
732,6194,150,Action,Tablet
733,6046,39,Comedy,Smart TV
734,1625,265,Comedy,Tablet
735,7604,282,Comedy,Mobile
736,9996,201,Drama,Smart TV
737,1714,128,Action,Laptop
738,1291,318,Comedy,Laptop
739,1502,462,Comedy,Tablet
740,1295,384,Action,Tablet
741,5777,109,Drama,Smart TV
742,7005,104,Documentary,Smart TV
743,5037,319,Sci-Fi,Tablet
744,4699,244,Sci-Fi,Laptop
745,5348,387,Drama,Mobile
746,3963,236,Comedy,Laptop
747,6163,39,Documentary,Tablet
748,2750,172,Action,Mobile
749,3730,169,Drama,Laptop
750,7169,20,Action,Tablet
751,3159,149,Drama,Smart TV
752,9433,143,Comedy,Tablet
753,1289,105,Drama,Mobile
754,6101,243,Comedy,Smart TV
755,4549,381,Drama,Mobile
756,8470,208,Sci-Fi,Mobile
757,1793,409,Sci-Fi,Smart TV
758,405,305,Drama,Smart TV
759,2577,284,Documentary,Smart TV
760,1378,167,Drama,Mobile
761,1023,405,Sci-Fi,Smart TV
762,6871,390,Sci-Fi,Laptop
763,3213,170,Sci-Fi,Mobile
764,7554,128,Action,Tablet
765,4519,203,Action,Mobile
766,6808,495,Comedy,Laptop
767,6676,269,Documentary,Tablet
768,1259,437,Documentary,Smart TV
769,1285,360,Documentary,Laptop
770,5868,331,Documentary,Laptop
771,8583,29,Documentary,Smart TV
772,5463,476,Documentary,Laptop
773,5700,248,Documentary,Laptop
774,1566,103,Action,Mobile
775,2082,48,Comedy,Tablet
776,9403,294,Drama,Tablet
777,3775,129,Action,Laptop
778,3885,498,Drama,Laptop
779,1165,148,Sci-Fi,Tablet
780,1620,125,Action,Tablet
781,4914,95,Drama,Mobile
782,4173,170,Documentary,Smart TV
783,2092,138,Drama,Tablet
784,4648,452,Action,Mobile
785,472,174,Comedy,Laptop
786,1740,481,Action,Smart TV
787,236,210,Sci-Fi,Tablet
788,4825,39,Action,Tablet
789,2630,376,Documentary,Tablet
790,1824,486,Comedy,Tablet
791,1628,91,Drama,Tablet
792,6111,456,Comedy,Tablet
793,2652,49,Documentary,Tablet
794,9675,230,Documentary,Smart TV
795,4893,278,Sci-Fi,Smart TV
796,5787,231,Documentary,Tablet
797,7568,165,Action,Tablet
798,7849,187,Action,Tablet
799,6499,299,Drama,Smart TV
800,5401,212,Comedy,Smart TV
801,8511,337,Documentary,Laptop
802,4058,307,Drama,Tablet
803,3791,137,Drama,Tablet
804,1866,160,Documentary,Mobile
805,6332,206,Drama,Smart TV
806,9060,172,Action,Laptop
807,5264,164,Comedy,Mobile
808,8857,74,Documentary,Tablet
809,5119,197,Comedy,Tablet
810,6616,131,Action,Smart TV
811,5204,157,Comedy,Tablet
812,580,287,Sci-Fi,Mobile
813,1739,150,Sci-Fi,Smart TV
814,2039,465,Drama,Tablet
815,4904,344,Action,Laptop
816,9935,264,Drama,Mobile
